Gene	NPY.Pair	X.class	LCL.deltaEx	Fib.deltaEx
RPL36A	FALSE	Single-copy	-0.040189566	-0.040163062
RPL36A-HNRNPH2	FALSE	Single-copy	-0.026821489	NA
RPL39	FALSE	Single-copy	-0.003194825	-0.036576681
RPS6KA3	FALSE	Single-copy	0.023512256	0.045643669
RPS6KA6	FALSE	Single-copy	NA	0.08010946
RRAGB	FALSE	Single-copy	-0.034098487	-0.026882125
RS1	FALSE	Single-copy	NA	NA
RTL3	FALSE	Single-copy	NA	NA
RTL4	FALSE	Single-copy	NA	NA
RTL8A	FALSE	Multicopy	-0.091984362	9.04e-05
RTL8B	FALSE	Multicopy	NA	-0.053042097
RTL8C	FALSE	Multicopy	-0.077146841	-0.008235688
RTL9	FALSE	Single-copy	NA	NA
S100G	FALSE	Single-copy	NA	NA
SAGE1	FALSE	Single-copy	NA	NA
SASH3	FALSE	Single-copy	0.052749569	NA
SATL1	FALSE	Single-copy	NA	NA
SCML1	FALSE	Multicopy	-0.185175616	0.013979013
SCML2	FALSE	Multicopy	NA	0.066323676
SERPINA7	FALSE	Single-copy	NA	NA
SERTM2	FALSE	Single-copy	NA	NA
SH2D1A	FALSE	Single-copy	NA	NA
SH3BGRL	FALSE	Single-copy	-0.02860577	-0.054452404
SH3KBP1	FALSE	Single-copy	0.002220631	-0.088575718
SHROOM2	FALSE	Multicopy	NA	NA
SHROOM4	FALSE	Multicopy	NA	NA
SLC10A3	FALSE	Single-copy	-0.001604664	-0.037408961
SLC25A14	FALSE	Single-copy	-0.014664136	-0.020476706
SLC25A43	FALSE	Single-copy	-0.020022999	0.033813775
SLC25A5	FALSE	Single-copy	-0.033178478	0.02056848
SLC25A53	FALSE	Single-copy	-0.001382265	NA
SLC35A2	FALSE	Single-copy	-0.04281438	-0.014774974
SLC38A5	FALSE	Single-copy	-0.017236751	-0.185602478
SLC6A14	FALSE	Single-copy	NA	NA
SLC7A3	FALSE	Single-copy	NA	NA
SLC9A6	FALSE	Multicopy	-0.035817664	0.028391941
SLC9A7	FALSE	Multicopy	-0.010269267	0.003987878
SLITRK2	FALSE	Single-copy	NA	NA
SLITRK4	FALSE	Single-copy	NA	NA
SMARCA1	FALSE	Single-copy	NA	-0.034934371
SMIM10	FALSE	Single-copy	NA	0.022913334
SMIM10L2A	FALSE	Multicopy	NA	NA
SMIM10L2B	FALSE	Multicopy	NA	NA
SMIM9	FALSE	Single-copy	NA	NA
SMPX	FALSE	Single-copy	NA	NA
SMS	FALSE	Single-copy	-0.045653191	0.025999766
SNX12	FALSE	Single-copy	-0.020324671	0.020143675
SOWAHD	FALSE	Single-copy	0.091869796	NA
SOX3	TRUE	Single-copy	NA	NA
SPANXN1	FALSE	Multicopy	NA	NA
SPANXN2	FALSE	Multicopy	NA	NA
SPANXN3	FALSE	Multicopy	NA	NA
SPANXN4	FALSE	Multicopy	NA	NA
SPANXN5	FALSE	Multicopy	NA	NA
SPIN2A	FALSE	Multicopy	NA	NA
SPIN2B	FALSE	Multicopy	0.065262936	-0.021167463
SPIN4	FALSE	Multicopy	0.020918319	-0.054638218
SRPK3	FALSE	Single-copy	NA	NA
SRPX	FALSE	Single-copy	NA	-0.078132918
SRPX2	FALSE	Single-copy	NA	-0.024375161
SSR4	FALSE	Single-copy	0.034926783	-0.042656992
STAG2	FALSE	Single-copy	-0.018791475	0.003124447
STARD8	FALSE	Single-copy	NA	0.139159611
STEEP1	FALSE	Single-copy	0.006591528	-0.024365237
STK26	FALSE	Single-copy	-0.033410779	-0.045267021
SUPT20HL1	FALSE	Multicopy	NA	NA
SUPT20HL2	FALSE	Multicopy	NA	NA
SUV39H1	FALSE	Single-copy	0.024652286	0.048718588
SYN1	FALSE	Single-copy	NA	NA
SYP	FALSE	Single-copy	NA	NA
SYTL4	FALSE	Single-copy	NA	0.026905595
SYTL5	FALSE	Single-copy	NA	NA
TAB3	FALSE	Single-copy	-0.013196652	-0.050806579
TAF1	FALSE	Single-copy	0.017804927	-0.009477258
TAF7L	FALSE	Single-copy	NA	NA
TAF9B	FALSE	Single-copy	-0.018682572	-0.001063327
TAZ	FALSE	Single-copy	0.011981103	0.001997757
TBC1D25	FALSE	Single-copy	-0.023240933	-0.004877419
TBL1X	TRUE	Single-copy	-0.083406786	-0.045385763
TBX22	FALSE	Single-copy	NA	NA
TCEAL1	FALSE	Single-copy	0.01275858	0.012216299
TCEAL2	FALSE	Multicopy	NA	NA
TCEAL3	FALSE	Multicopy	0.003017045	0.038337974
TCEAL4	FALSE	Multicopy	-0.043202984	0.03686775
TCEAL5	FALSE	Multicopy	NA	NA
TCEAL6	FALSE	Multicopy	NA	NA
TCEAL8	FALSE	Single-copy	-0.043749822	-0.024527385
TDGF1P3	FALSE	Single-copy	NA	NA
TENM1	FALSE	Single-copy	NA	NA
TENT5D	FALSE	Single-copy	NA	NA
TEX11	FALSE	Single-copy	NA	NA
TEX13A	FALSE	Single-copy	NA	NA
TEX13B	FALSE	Single-copy	NA	NA
TEX13C	FALSE	Single-copy	NA	NA
TEX13D	FALSE	Single-copy	NA	NA
TEX28	FALSE	Single-copy	NA	NA
TFDP3	FALSE	Single-copy	NA	NA
TFE3	FALSE	Single-copy	0.017390615	0.043989801
TGIF2LX	FALSE	Single-copy	NA	NA
THOC2	FALSE	Single-copy	-0.004234461	-0.048086443
TIMM17B	FALSE	Single-copy	0.026754621	-0.027920085
TIMM8A	FALSE	Single-copy	-0.025110563	-0.034125007
TIMP1	FALSE	Single-copy	-0.060369258	0.169814924
TKTL1	FALSE	Single-copy	NA	NA
TLR7	FALSE	Single-copy	0.072486482	NA
TLR8	FALSE	Single-copy	NA	NA
TMEM164	FALSE	Single-copy	0.096051606	0.030792902
TMEM185A	FALSE	Single-copy	-0.047866642	0.025544766
TMEM255A	FALSE	Single-copy	NA	NA
TMEM31	FALSE	Single-copy	NA	NA
TMEM35A	FALSE	Single-copy	NA	NA
TMEM47	FALSE	Single-copy	NA	0.016979647
TMLHE	FALSE	Single-copy	-0.003229348	0.041423619
TMSB15A	FALSE	Single-copy	NA	-0.135861682
TMSB4X	TRUE	Single-copy	0.021296061	0.0498886
TNMD	FALSE	Single-copy	NA	NA
TREX2	FALSE	Single-copy	NA	0.034793785
TRMT2B	FALSE	Single-copy	0.048129447	0.021826422
TRPC5	FALSE	Single-copy	NA	NA
TRPC5OS	FALSE	Single-copy	NA	NA
TSC22D3	FALSE	Single-copy	0.002542279	-0.116871028
TSIX	FALSE	Single-copy	NA	NA
TSPAN6	FALSE	Single-copy	NA	-0.009001144
TSPAN7	FALSE	Single-copy	NA	NA
TSPYL2	TRUE	Single-copy	-0.012277803	-0.058849672
TSR2	FALSE	Single-copy	0.002954637	0.03762835
UBE2A	FALSE	Single-copy	0.023582849	0.03557007
UBL4A	FALSE	Single-copy	0.001394946	-0.020435047
UBQLN2	FALSE	Single-copy	-0.005709605	-0.00134382
UPF3B	FALSE	Single-copy	0.009854253	-0.067862877
UPRT	FALSE	Single-copy	-0.009570218	0.005875113
USP11	FALSE	Single-copy	-0.05757424	-0.054676456
USP26	FALSE	Single-copy	NA	NA
USP51	FALSE	Single-copy	NA	NA
UTP14A	FALSE	Single-copy	-0.00558787	-0.069650873
UXT	FALSE	Single-copy	-0.027109866	-0.017130601
VBP1	FALSE	Single-copy	-0.015890812	-0.013036195
VCX	FALSE	Multicopy	NA	NA
VCX2	FALSE	Multicopy	NA	NA
VCX3A	FALSE	Multicopy	NA	NA
VCX3B	FALSE	Multicopy	NA	NA
VEGFD	FALSE	Single-copy	NA	NA
VGLL1	FALSE	Single-copy	NA	NA
VMA21	FALSE	Single-copy	-0.00340526	0.019349364
VSIG1	FALSE	Single-copy	NA	NA
VSIG4	FALSE	Single-copy	NA	NA
WAS	FALSE	Single-copy	0.02613132	NA
WDR13	FALSE	Single-copy	0.014130307	-0.021779096
WDR44	FALSE	Single-copy	-0.012645345	-0.010231941
WDR45	FALSE	Single-copy	0.003473175	0.015631475
WNK3	FALSE	Single-copy	NA	NA
XACT	FALSE	Single-copy	NA	NA
XAGE2	FALSE	Multicopy	NA	NA
XAGE3	FALSE	Multicopy	NA	NA
XG	FALSE	Single-copy	NA	0.130616624
XIAP	FALSE	Single-copy	0.022606972	-0.038109698
XK	FALSE	Single-copy	NA	NA
XKRX	FALSE	Single-copy	NA	NA
XPNPEP2	FALSE	Single-copy	NA	-0.130669114
YIPF6	FALSE	Single-copy	-0.037052437	-0.051603924
YY2	FALSE	Single-copy	NA	0.051870809
ZBTB33	FALSE	Single-copy	0.014481343	-0.004257605
ZC3H12B	FALSE	Single-copy	NA	NA
ZC4H2	FALSE	Single-copy	-0.004617716	-0.059356
ZCCHC12	FALSE	Multicopy	NA	NA
ZCCHC13	FALSE	Single-copy	NA	NA
ZCCHC18	FALSE	Multicopy	NA	NA
ZDHHC15	FALSE	Single-copy	NA	NA
ZDHHC9	FALSE	Single-copy	-0.041920604	-0.005642201
ZFP92	FALSE	Single-copy	NA	NA
ZIC3	FALSE	Single-copy	NA	NA
ZMAT1	FALSE	Single-copy	NA	NA
ZMYM3	FALSE	Single-copy	-0.014023215	-0.056199875
ZNF157	FALSE	Multicopy	NA	NA
ZNF182	FALSE	Multicopy	0.020607999	-0.010684927
ZNF185	FALSE	Multicopy	NA	0.006903627
ZNF275	FALSE	Multicopy	0.065869521	0.013008424
ZNF280C	FALSE	Multicopy	0.013293563	-0.052747518
ZNF41	FALSE	Multicopy	0.013909649	-0.054883901
ZNF449	FALSE	Multicopy	0.009678251	-0.008026607
ZNF630	FALSE	Multicopy	-0.018421214	-0.059413868
ZNF674	FALSE	Multicopy	-0.011989701	-0.060287486
ZNF75D	FALSE	Multicopy	0.043761045	0.013652545
ZNF81	FALSE	Multicopy	-0.013623359	-0.052563021
